avg_temp,avg_humidity,avg_wind_speed,avg_rain_1h,avg_clouds_all
283.9,81.4,7.8,0.1,32.6
283.8,78.4,4.3,0.1,31.7
283.8,78.6,8.5,0.1,33.4
283.7,74.8,4.2,0.1,53.2
284.0,70.4,5.3,0.1,29.2
283.7,66.8,4.6,0.2,70.6
282.7,67.5,4.6,0.1,62.3
281.9,67.3,4.2,0.1,53.0
281.8,66.8,3.4,0.3,52.2
280.7,67.1,2.6,0.3,23.0
279.3,68.7,4.2,0.3,10.5
278.8,70.8,2.6,0.3,11.6
278.5,72.4,4.1,0.3,10.5
277.2,73.0,1.3,0.3,21.8
277.2,73.4,1.9,0.0,21.6
276.5,73.2,1.9,0.1,22.4
276.3,73.4,2.4,0.1,22.4
276.0,74.0,1.8,0.1,21.6
275.8,74.0,1.5,0.1,21.8
275.0,74.1,3.3,0.0,11.7
274.9,73.8,2.6,0.0,12.0
275.3,69.6,2.7,0.0,11.2
276.9,68.7,1.0,0.0,7.6
278.0,66.1,2.0,0.0,7.6
282.6,63.9,2.1,0.0,7.6
282.6,63.3,1.6,0.0,7.6
283.1,63.7,2.4,0.0,8.4
284.1,57.4,1.8,0.0,8.1
283.9,58.3,1.6,0.0,8.6
283.5,59.4,2.3,0.0,5.6
281.1,63.4,1.9,0.0,8.1
279.5,68.3,1.6,0.0,7.4
278.9,70.4,1.6,0.0,8.8
278.0,72.3,2.2,0.0,17.0
277.6,75.2,2.2,0.0,17.3
277.6,71.9,3.1,0.0,18.4
277.4,71.2,3.4,0.0,18.4
277.0,69.7,4.2,0.0,28.0
277.1,69.0,3.0,0.0,27.0
276.7,71.9,2.8,0.0,37.6
277.3,73.0,2.4,0.0,43.2
276.8,74.3,2.4,0.0,41.2
276.9,74.4,3.2,0.1,41.3
277.6,73.9,3.2,0.2,47.0
277.6,72.9,3.4,0.2,49.6
277.6,74.1,2.8,0.2,55.6
278.6,71.7,2.8,0.1,59.2
279.5,69.7,3.4,0.1,57.4
280.3,69.0,3.3,0.1,66.4
281.1,68.7,3.6,0.2,65.6
281.7,68.0,5.2,0.2,69.4
281.9,69.0,3.7,0.2,62.2
282.3,69.8,3.6,0.1,68.1
281.8,70.4,3.8,0.2,75.4
281.6,69.4,4.0,0.2,87.2
281.1,70.3,3.0,0.2,92.0
280.8,70.9,2.4,0.2,92.0
280.2,78.1,2.5,0.4,92.0
280.0,79.4,1.8,0.4,92.0
279.9,88.4,1.8,0.6,92.0
279.5,89.3,1.5,0.6,92.0
279.2,88.9,1.6,0.8,82.8
279.1,89.6,2.9,0.5,82.8
279.2,93.1,3.2,0.5,77.6
279.7,93.9,3.2,0.5,77.6
279.8,94.4,3.3,0.5,77.6
279.8,94.8,2.4,0.5,77.6
279.3,91.5,4.4,0.4,82.8
279.4,90.9,4.1,0.4,82.8
279.9,88.3,4.8,0.2,82.8
279.6,86.7,4.3,0.2,82.8
279.7,86.3,4.5,0.2,82.8
279.7,85.3,4.8,0.2,82.8
280.8,56.1,6.2,0.2,55.2
280.5,79.8,5.2,0.2,55.2
280.6,77.5,5.1,0.1,55.2
280.5,77.7,4.8,0.2,55.2
280.1,77.1,4.5,1.1,55.0
280.2,72.1,4.6,1.1,54.8
279.5,74.4,4.5,1.1,54.6
278.7,75.4,3.3,0.1,49.8
278.1,78.5,3.5,0.1,51.0
277.3,79.6,2.7,0.1,47.6
276.5,78.7,1.8,0.1,44.2
275.8,78.2,1.6,0.1,45.4
275.2,74.9,1.4,0.1,46.5
275.4,73.0,2.3,0.0,46.6
275.1,70.5,2.2,0.0,58.0
274.9,71.9,1.6,0.0,58.0
274.9,73.2,3.0,0.0,58.0
275.2,76.9,1.6,0.0,70.0
275.1,78.5,1.7,0.0,71.6
275.2,79.6,1.6,0.0,71.6
275.1,80.0,2.4,0.0,75.6
276.9,77.4,1.5,0.1,64.4
278.4,75.2,1.8,0.1,58.6
279.8,73.7,1.7,0.1,52.5
280.1,74.0,1.7,0.1,52.6
280.5,70.8,1.3,0.1,52.6
281.7,64.2,2.7,0.1,44.0
281.6,61.6,1.9,0.1,29.6
281.4,62.7,1.9,0.2,39.2
281.3,64.8,1.9,0.2,48.8
279.7,65.4,1.1,0.1,74.0
278.9,68.4,1.0,0.1,59.6
277.1,70.7,1.8,0.2,68.0
277.0,70.3,1.8,0.2,68.0
277.0,71.2,1.2,0.2,68.0
276.6,73.9,1.3,0.2,52.6
277.1,69.1,1.5,0.1,46.0
276.6,86.0,1.8,0.0,45.8
275.6,82.1,2.0,0.1,43.0
274.5,73.6,1.9,0.0,40.1
275.1,70.2,1.7,0.0,46.0
274.7,71.9,3.2,0.0,41.7
275.0,71.8,4.2,0.0,41.8
275.0,71.6,3.6,0.1,42.6
276.4,73.4,4.0,0.1,36.4
276.7,73.7,3.4,0.1,36.8
277.5,70.8,3.0,0.1,36.6
279.2,71.4,3.1,0.1,47.6
281.5,69.4,3.3,0.1,58.0
281.6,69.7,4.4,0.2,55.8
282.3,66.9,4.7,0.2,64.6
282.1,67.2,5.6,0.2,63.3
281.8,67.0,5.7,0.4,63.6
280.7,71.9,4.5,0.3,82.5
279.7,74.6,3.7,0.3,74.2
278.9,76.3,5.2,0.3,71.4
278.1,77.6,3.9,0.3,62.4
278.0,79.6,3.0,0.3,62.4
278.1,78.3,4.5,0.3,62.4
278.0,76.9,3.8,0.4,42.8
278.3,74.9,3.7,0.4,42.8
278.4,72.9,4.6,0.2,42.8
277.7,73.2,4.1,0.1,36.4
277.6,74.2,3.8,0.1,36.4
277.6,74.8,3.5,0.1,36.4
277.8,75.3,4.2,0.1,27.6
277.9,74.2,4.2,0.1,27.6
278.0,73.1,4.9,0.3,27.6
278.6,70.7,4.6,0.3,29.2
278.9,69.5,5.9,0.3,29.2
279.3,68.8,4.9,0.3,29.2
281.8,63.7,5.4,0.3,25.6
282.4,62.2,5.5,0.3,25.6
282.7,61.5,5.8,0.3,25.6
283.1,56.4,6.0,0.4,15.6
283.4,55.1,4.1,0.3,20.0
283.3,55.3,6.3,0.4,16.0
282.2,58.2,6.7,0.4,40.8
280.7,60.6,4.4,0.3,59.2
279.8,62.9,3.5,0.3,41.3
278.8,67.1,2.4,0.4,22.4
277.5,68.9,2.2,0.3,12.8
277.3,69.2,1.8,0.3,12.8
277.1,69.8,1.6,0.3,12.8
275.7,71.5,1.5,0.3,16.4
276.3,68.4,1.5,0.0,24.6
276.1,70.1,1.5,0.0,33.0
275.4,74.2,1.8,0.0,20.9
275.9,71.4,1.5,0.0,33.2
275.2,74.2,1.7,0.0,8.9
275.8,69.8,1.7,0.0,9.0
275.9,68.9,3.0,0.0,9.0
276.6,67.5,1.7,0.0,9.2
277.3,68.1,2.0,0.0,10.4
279.2,59.1,1.9,0.0,9.2
280.7,61.5,3.0,0.0,10.4
283.4,54.7,3.5,0.0,9.2
284.2,50.4,3.7,0.0,12.2
284.9,46.8,3.0,0.0,16.2
284.2,50.5,3.1,0.0,11.9
285.0,46.5,2.6,0.0,8.0
283.1,56.9,3.5,0.0,8.9
282.0,61.0,3.2,0.0,10.2
281.5,61.7,3.5,0.0,12.6
279.6,66.2,2.4,0.0,13.0
278.3,67.3,1.9,0.0,14.4
277.7,69.7,1.9,0.0,10.2
277.3,71.6,1.9,0.0,12.1
275.4,72.4,1.6,0.0,6.0
275.0,68.4,3.9,0.0,5.2
274.1,67.5,1.6,0.0,0.8
273.7,69.8,1.1,0.0,1.6
273.7,68.2,1.9,0.0,1.0
272.9,64.5,4.0,0.0,2.2
272.7,62.7,1.7,0.0,2.1
273.5,63.3,2.3,0.0,1.2
274.1,64.4,2.8,0.0,1.3
275.7,63.5,2.6,0.0,0.6
277.4,56.6,3.4,0.0,3.2
281.8,57.5,3.8,0.0,1.4
282.1,58.3,2.7,0.0,2.9
282.7,56.6,5.8,0.0,4.6
284.6,51.3,2.5,0.0,6.0
284.4,51.6,2.3,0.0,9.4
285.3,50.3,1.9,0.0,10.4
283.4,52.7,1.4,0.0,11.0
281.2,57.9,1.6,0.0,9.2
279.4,59.7,2.0,0.0,5.8
278.9,59.9,2.5,0.0,6.9
279.2,63.1,3.0,0.0,4.6
279.5,60.5,2.9,0.0,9.2
279.2,63.0,3.8,0.0,4.6
278.6,60.8,4.3,0.0,6.9
278.7,58.1,4.1,0.0,2.8
278.8,54.9,5.1,0.0,7.2
278.7,54.6,5.4,0.0,5.2
278.9,52.9,6.1,0.0,9.0
277.5,50.5,4.5,0.0,5.0
277.2,53.5,2.5,0.0,6.9
277.4,51.2,5.1,0.0,6.0
278.0,49.0,1.8,0.0,8.8
278.7,49.1,4.6,0.0,8.8
279.9,47.6,2.3,0.0,8.8
284.3,44.6,1.6,0.0,8.8
284.4,46.1,3.2,0.0,8.8
285.0,46.4,2.6,0.0,9.0
285.8,44.5,3.1,0.0,8.9
285.9,38.9,4.0,0.0,9.0
285.5,39.4,4.6,0.0,9.0
283.9,45.1,4.8,0.0,9.2
282.6,45.3,3.8,0.0,9.2
281.7,43.1,2.5,0.0,7.4
278.6,50.9,2.4,0.0,8.0
278.2,51.1,1.8,0.0,6.8
277.2,54.5,1.4,0.0,6.4
276.3,57.7,1.2,0.0,4.9
275.4,58.7,1.0,0.0,4.2
274.9,61.7,1.0,0.0,4.0
274.1,62.4,0.9,0.0,3.2
274.0,64.2,0.9,0.0,2.8
274.1,63.9,0.9,0.0,3.0
274.8,59.7,1.3,0.0,2.4
274.8,60.7,1.5,0.0,2.4
274.7,61.4,1.3,0.0,2.2
276.0,63.0,1.1,0.0,21.4
276.8,61.4,1.6,0.0,21.3
278.1,58.0,1.6,0.0,23.6
282.7,54.0,0.9,0.0,22.6
283.2,52.8,1.2,0.0,24.1
283.3,52.7,0.9,0.0,24.0
284.5,49.9,1.6,0.0,17.6
284.8,51.3,2.2,0.0,18.0
284.5,53.7,2.6,0.0,18.4
282.7,59.9,2.3,0.0,36.4
280.9,66.7,1.5,0.0,36.4
279.3,68.1,1.3,0.0,44.0
277.8,70.2,1.0,0.0,52.9
277.6,72.0,1.0,0.0,52.6
277.6,71.1,1.0,0.0,53.4
277.2,70.7,1.3,0.0,38.4
276.9,75.8,1.0,0.0,38.8
276.3,75.4,1.3,0.0,32.2
276.1,81.8,1.0,0.0,33.9
275.6,82.0,1.3,0.0,28.6
275.5,81.3,0.8,0.0,24.2
274.8,82.4,1.4,0.0,18.8
274.5,81.9,1.3,0.0,14.0
275.2,69.5,1.2,0.1,9.2
277.3,70.1,1.6,0.1,9.2
278.7,66.3,2.0,0.1,9.2
279.6,62.4,2.8,0.1,9.2
284.4,60.5,2.6,0.1,20.0
284.8,59.3,2.8,0.1,20.0
285.3,59.0,2.2,0.1,20.0
285.9,57.4,2.3,0.1,33.2
286.1,55.3,3.6,0.1,32.0
286.2,55.8,3.1,0.1,32.0
285.4,56.0,2.2,0.1,24.2
283.9,60.0,2.4,0.1,17.5
283.0,63.5,3.7,0.1,27.6
280.4,65.1,2.2,0.1,10.0
280.4,67.7,2.2,0.1,9.2
280.0,71.2,1.9,0.1,9.2
279.1,71.5,1.6,0.1,9.2
277.5,74.2,1.1,0.1,9.2
277.3,74.3,1.4,0.0,7.0
276.6,71.8,1.0,0.0,7.7
276.0,73.6,1.2,0.0,6.2
276.0,74.2,1.0,0.0,9.2
276.1,69.0,1.6,0.0,12.2
276.0,66.2,1.3,0.0,13.7
276.0,66.6,1.7,0.0,13.0
277.4,68.6,1.1,0.0,23.6
278.4,66.9,2.3,0.0,23.6
279.1,64.1,2.3,0.0,23.6
283.7,65.0,1.7,0.0,9.2
283.9,63.3,1.4,0.0,26.0
284.4,62.9,2.1,0.0,9.2
285.7,60.2,2.2,0.0,9.2
286.2,57.0,2.2,0.0,9.2
284.7,61.5,2.1,0.0,10.4
283.4,64.4,1.6,0.0,11.6
282.8,68.7,1.4,0.0,10.4
282.1,73.2,1.7,0.1,9.2
279.3,78.1,1.6,0.1,10.0
278.9,81.7,1.2,0.2,10.8
278.3,83.1,1.5,0.2,17.9
277.5,87.5,1.5,0.2,16.2
277.0,89.4,1.5,0.2,22.2
277.2,85.9,1.7,0.0,9.6
276.5,90.1,1.8,0.0,21.5
276.4,88.3,2.0,0.0,14.8
277.4,74.2,2.6,0.0,20.2
277.7,68.6,2.8,0.0,13.7
276.9,72.0,2.5,0.0,9.8
277.8,69.0,2.1,0.0,16.2
278.7,73.5,1.8,0.0,19.3
279.5,70.2,3.0,0.0,20.6
280.4,67.5,5.0,0.0,20.6
284.1,65.2,5.5,0.0,51.2
284.2,65.9,2.7,0.0,51.6
285.1,63.7,4.0,0.0,51.6
286.9,56.3,9.7,0.0,13.3
287.0,55.6,6.9,0.0,15.8
286.7,60.4,7.4,0.1,15.8
286.3,56.9,5.4,0.1,44.0
286.0,62.5,7.2,0.1,54.4
285.9,59.9,6.6,0.1,59.2
285.5,66.1,5.5,0.1,46.0
